Day,Date,Market demand,ibis budget Sydney Airport,Felix Hotel Sydney Airport,ibis Sydney Airport,Travelodge Hotel Sydney Airport,Meriton Suites Mascot Central,Mantra Hotel at Sydney Airport,Quest Serviced Apartments Mascot,Adina Apartment Hotel Sydney Airport,Stamford Plaza Sydney Airport,ibis Budget - St Peters,Quality Hotel CKS Sydney Airport,P(0) Value,P(1) Value
Fri,4/21/19 2:39,69%,128,155,144,143,147,160,180,179,189,84,179,0,0
Sat,4/21/19 3:39,70%,118,146,134,134,167,160,195,189,189,94,189,0,0
Sun,4/21/19 4:39,69%,118,159,134,134,127,160,179,159,199,84,169,0,0
Mon,4/21/19 5:39,69%,149,165,134,152,167,175,195,189,229,84,199,0,0
Tue,4/21/19 6:39,71%,138,179,154,161,187,175,210,199,259,94,199,0,0
Wed,4/21/19 7:39,71%,138,179,154,161,187,175,210,199,279,94,209,0,0
Thu,4/21/19 8:39,71%,149,165,154,152,167,149,195,179,259,84,189,0,0
Fri,4/21/19 9:39,71%,149,179,144,143,147,160,180,179,189,94,179,0,0
Sat,4/21/19 10:39,74%,149,169,134,134,167,160,195,189,219,104,179,0,0
Sun,4/21/19 11:39,69%,118,169,134,134,127,160,179,159,209,84,169,0,0
Mon,4/21/19 12:39,71%,128,179,134,143,167,175,195,199,309,94,199,0,0
Tue,4/21/19 13:39,71%,128,165,154,152,187,189,210,199,359,104,229,0,0
Wed,4/21/19 14:39,,138,179,154,152,187,198,210,199,379,104,239,0,0
Thu,4/21/19 15:39,,128,179,134,152,167,175,195,179,269,104,189,0,0
Fri,4/21/19 16:39,,118,169,124,143,147,160,180,179,189,129,179,0,0
Sat,4/21/19 17:39,,118,169,124,143,167,160,195,189,199,139,179,0,0
Sun,4/21/19 18:39,,118,155,124,143,127,160,179,159,219,84,179,0,0
Mon,4/21/19 19:39,,128,174,134,134,167,175,195,189,239,94,199,0,0
Tue,4/21/19 20:39,,128,174,144,152,187,175,210,199,259,104,199,0,0
Wed,4/21/19 21:39,,138,174,144,152,187,175,210,199,279,104,209,0,0
Thu,4/21/19 22:39,,128,189,134,152,167,175,195,179,259,94,199,0,0
Fri,4/21/19 23:39,,118,169,124,143,147,160,180,179,189,129,179,0,0
Sat,4/22/19 0:39,,128,192,134,139,167,160,190,189,189,139,189,1,0
Sun,4/22/19 1:39,,118,165,124,139,127,160,180,159,229,94,189,1,0
Mon,4/22/19 2:39,,118,189,134,149,147,175,199,179,219,104,189,0,0
Tue,4/22/19 3:39,,128,189,124,159,167,175,205,199,249,104,189,0,0
Wed,4/22/19 4:39,,128,189,124,159,167,189,205,199,259,104,189,0,0
Thu,4/22/19 5:39,,118,174,134,149,167,175,199,189,259,94,189,0,0
Fri,4/22/19 6:39,,128,155,134,149,147,160,190,179,249,104,189,0,0
Sat,4/22/19 7:39,,118,209,124,139,167,160,190,189,199,114,189,0,0
Sun,4/22/19 8:39,,118,165,124,139,147,160,180,159,219,94,189,0,0
Mon,4/22/19 9:39,,118,174,124,139,127,160,199,179,219,94,189,0,0
Tue,4/22/19 10:39,,128,174,124,159,167,175,205,199,239,104,189,0,0
Wed,4/22/19 11:39,,128,189,124,159,167,175,205,199,249,104,189,0,0
Thu,4/22/19 12:39,,118,174,134,149,167,175,199,189,239,94,189,0,0
Fri,4/22/19 13:39,,118,155,134,149,147,160,190,179,189,104,189,0,0
Sat,4/22/19 14:39,,128,192,124,139,167,160,190,189,199,104,189,0,0
Sun,4/22/19 15:39,,118,179,124,139,127,160,180,159,229,84,189,0,0
Mon,4/22/19 16:39,,118,189,134,149,147,175,199,179,219,84,189,0,0
Tue,4/22/19 17:39,,128,189,124,159,167,175,205,199,259,94,189,0,0
Wed,4/22/19 18:39,,128,174,124,159,167,189,205,199,249,94,219,0,0
Thu,4/22/19 19:39,,118,189,134,149,147,175,199,189,249,84,209,0,0
Fri,4/22/19 20:39,,118,169,134,149,147,160,190,179,189,84,199,0,0
Sat,4/22/19 21:39,,128,192,124,139,167,175,190,189,199,94,199,0,0
Sun,4/22/19 22:39,,118,165,124,139,127,160,180,159,249,84,199,0,0
Mon,4/22/19 23:39,,118,174,134,149,147,175,199,179,219,84,209,0,0
Tue,4/23/19 0:39,,118,174,124,159,147,189,205,199,239,94,229,1,0
Wed,4/23/19 1:39,,118,189,124,159,147,189,205,199,249,94,229,1,0
Thu,4/23/19 2:39,,118,189,134,149,147,175,199,189,229,84,209,0,0
Fri,4/23/19 3:39,,118,169,134,149,147,160,190,179,189,134,199,0,0
Sat,4/23/19 4:39,,118,209,124,139,167,175,190,189,209,94,199,0,0
Sun,4/23/19 5:39,,118,179,124,139,127,160,180,159,239,84,199,0,0
Mon,4/23/19 6:39,,118,165,134,149,147,160,220,179,219,84,229,0,0
Tue,4/23/19 7:39,,128,209,134,159,167,189,220,199,259,104,229,0,0
Wed,4/23/19 8:39,,128,209,134,159,167,198,220,199,259,104,229,0,0
Thu,4/23/19 9:39,,128,209,134,149,147,198,220,189,249,104,229,0,0
Fri,4/23/19 10:39,,118,165,134,159,147,160,200,179,189,104,209,0,0
Sat,4/23/19 11:39,,118,199,124,139,167,189,200,189,229,114,229,0,0
